Region Code: AS
"Region Name: Asia"
Country Code: JPN
"Country Name: Japan"
Export date: 10/12/2025 10:20:56 PM
Source location: "WHO Mortality Database portal"
Metadata information: 

Indicator Code,Indicator Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
CG0430,Maternal haemorrhage,2010,All,Age_all,[All],9.00000000,0.00075187,0.00701427,0.00712128,
CG0440,Maternal sepsis,2010,All,Age_all,[All],1.00000000,0.00008354,0.00073751,0.00079125,
CG0450,Hypertensive disorders,2010,All,Age_all,[All],2.00000000,0.00016708,0.00149930,0.00158251,
CG0460,Obstructed labour,2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0470,Pregnancy with abortive outcome,2010,All,Age_all,[All],3.00000000,0.00025062,0.00277146,0.00237376,
CG0480,Other maternal conditions,2010,All,Age_all,[All],34.00000000,0.00284041,0.02870246,0.02690262,
CG0490,Perinatal conditions,2010,All,Age_all,[All],634.00000000,0.05296522,1.09445125,0.50165480,
CG0500,Low birth weight,2010,All,Age_all,[All],206.00000000,0.01720952,0.35583141,0.16299825,
CG0510,Birth asphyxia and birth trauma,2010,All,Age_all,[All],205.00000000,0.01712598,0.35335676,0.16220699,
CG0520,Other perinatal conditions,2010,All,Age_all,[All],223.00000000,0.01862972,0.38526307,0.17644956,
CG0530,Nutritional deficiencies,2010,All,Age_all,[All],2697.00000000,0.22531102,0.71377307,2.13401102,
CG0540,Protein-energy malnutrition,2010,All,Age_all,[All],1666.00000000,0.13917989,0.46345412,1.31822853,
CG0550,Iodine deficiency,2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0560,Vitamin A deficiency,2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0570,Iron-deficiency anaemia,2010,All,Age_all,[All],639.00000000,0.05338292,0.13857600,0.50561106,
CG0580,Other nutritional disorders,2010,All,Age_all,[All],392.00000000,0.03274821,0.11174296,0.31017142,
CG0590,Noncommunicable diseases,2010,All,Age_all,[All],911299.00000000,76.13114990,248.24679271,721.06863423,
CG0600,Malignant neoplasms,2010,All,Age_all,[All],353506.00000000,29.53236893,106.21891378,279.71290280,
CG0610,Mouth and oropharynx cancers,2010,All,Age_all,[All],6802.00000000,0.56824827,2.22330469,5.38210714,
CG0611,a. Lip and oral cavity cancers,2010,All,Age_all,[All],3586.00000000,0.29957929,1.12973909,2.83743549,
CG0612,b. Nasopharynx cancers,2010,All,Age_all,[All],304.00000000,0.02539657,0.12260526,0.24054110,
CG0613,c. Other pharynx cancer,2010,All,Age_all,[All],2912.00000000,0.24327241,0.97096034,2.30413055,
CG0620,Oesophagus cancer,2010,All,Age_all,[All],11867.00000000,0.99138522,3.84443238,9.38980673,
CG0630,Stomach cancer,2010,All,Age_all,[All],50136.00000000,4.18842919,14.65217911,39.67029158,
CG0640,Colon and rectum cancers,2010,All,Age_all,[All],44620.00000000,3.72761509,13.19186414,35.30573660,
CG0650,Liver cancer,2010,All,Age_all,[All],32765.00000000,2.73723238,9.66384038,25.92542492,
CG0660,Pancreas cancer,2010,All,Age_all,[All],28017.00000000,2.34057804,8.34724988,22.16855272,
CG0670,"Trachea, bronchus, lung cancers",2010,All,Age_all,[All],69813.00000000,5.83227236,19.98529170,55.23978909,
CG0680,Melanoma and other skin cancers,2010,All,Age_all,[All],1404.00000000,0.11729206,0.42202869,1.11092008,
CG0681,a. Malignant skin melanoma,2010,All,Age_all,[All],626.00000000,0.05229689,0.22225462,0.49532477,
CG0682,b. Non-melanoma skin cancer,2010,All,Age_all,[All],778.00000000,0.06499517,0.19977406,0.61559532,
CG0690,Breast cancer,2010,All,Age_all,[All],12545.00000000,1.04802625,5.15504961,9.92627668,
CG0700,Cervix uteri cancer,2010,All,Age_all,[All],2664.00000000,0.22255416,1.16922403,2.10789965,
CG0710,Corpus uteri cancer,2010,All,Age_all,[All],3266.00000000,0.27284605,1.13652767,2.58423433,
CG0720,Ovary cancer,2010,All,Age_all,[All],4654.00000000,0.38880145,1.83654860,3.68249436,
CG0730,Prostate cancer,2010,All,Age_all,[All],10722.00000000,0.89573037,2.53862256,8.48382133,
CG0731,Testicular cancer,2010,All,Age_all,[All],65.00000000,0.00543019,0.04740705,0.05143149,
CG0732,Kidney cancer,2010,All,Age_all,[All],7200.00000000,0.60149773,2.06787381,5.69702608,
CG0740,Bladder cancer,2010,All,Age_all,[All],6804.00000000,0.56841535,1.66278220,5.38368964,
CG0741,Brain and nervous system cancers,2010,All,Age_all,[All],1942.00000000,0.16223730,0.95597538,1.53661453,
CG0742,Gallbladder and biliary tract cancer,2010,All,Age_all,[All],17585.00000000,1.46907466,4.55414408,13.91419494,
CG0743,Larynx cancer,2010,All,Age_all,[All],1002.00000000,0.08370843,0.29051157,0.79283613,
CG0744,Thyroid cancer,2010,All,Age_all,[All],1669.00000000,0.13943052,0.44862239,1.32060229,
CG0745,Mesothelioma,2010,All,Age_all,[All],1209.00000000,0.10100149,0.38743169,0.95662563,
CG0750,"Lymphomas, multiple myeloma",2010,All,Age_all,[All],14466.00000000,1.20850919,4.20249059,11.44627489,
CG0751,a. Hodgkin lymphoma,2010,All,Age_all,[All],140.00000000,0.01169579,0.05277555,0.11077551,
CG0752,b. Non-Hodgkin lymphoma,2010,All,Age_all,[All],10089.00000000,0.84284869,2.97869912,7.98295779,
CG0753,c. Multiple myeloma,2010,All,Age_all,[All],4237.00000000,0.35396471,1.17101593,3.35254160,
CG0760,Leukaemia,2010,All,Age_all,[All],8078.00000000,0.67484704,2.94930452,6.39174676,
CG0780,Other neoplasms,2010,All,Age_all,[All],10157.00000000,0.84852951,2.85741083,8.03676304,
CG0790,Diabetes mellitus,2010,All,Age_all,[All],14422.00000000,1.20483337,3.98750440,11.41145973,
CG0800,Endocrine disorders,2010,All,Age_all,[All],8879.00000000,0.74176366,2.43737448,7.02554091,
CG0810,Neuropsychiatric conditions,2010,All,Age_all,[All],27277.00000000,2.27875744,7.52517852,21.58302504,
CG0820,Unipolar depressive disorders,2010,All,Age_all,[All],216.00000000,0.01804493,0.07334026,0.17091078,
CG0830,Bipolar disorder,2010,All,Age_all,[All],22.00000000,0.00183791,0.00783069,0.01740758,
CG0840,Schizophrenia,2010,All,Age_all,[All],457.00000000,0.03817840,0.18388062,0.36160291,
CG0850,Epilepsy,2010,All,Age_all,[All],662.00000000,0.05530437,0.34980386,0.52380990,
CG0860,Alcohol use disorders,2010,All,Age_all,[All],386.00000000,0.03224696,0.19251258,0.30542390,
CG0870,Alzheimer and other dementias,2010,All,Age_all,[All],12396.00000000,1.03557859,2.54850456,9.80837989,
CG0880,Parkinson disease,2010,All,Age_all,[All],5285.00000000,0.44151604,1.20070400,4.18177539,
CG0890,Multiple sclerosis,2010,All,Age_all,[All],87.00000000,0.00726810,0.04015328,0.06883907,
CG0900,Drug use disorders,2010,All,Age_all,[All],316.00000000,0.02639907,0.23385648,0.25003614,
CG0910,Post-traumatic stress disorder,2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0920,Obsessive-compulsive disorder,2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0930,Panic disorder,2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0940,Insomnia (primary),2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0950,Migraine,2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0960,Mental Retardation,2010,All,Age_all,[All],61.00000000,0.00509602,0.02705694,0.04826647,
CG0970,Other neuropsychiatric disorders,2010,All,Age_all,[All],7389.00000000,0.61728704,2.66753525,5.84657301,
CG0980,Sense organ diseases,2010,All,Age_all,[All],12.00000000,0.00100250,0.00250375,0.00949504,
CG0990,Glaucoma,2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1000,Cataracts,2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1010,"Vision disorders, age-related",2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1020,"Hearing loss, adult onset ",2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1030,Other sense organ disorders,2010,All,Age_all,[All],12.00000000,0.00100250,0.00250375,0.00949504,
CG1040,Cardiovascular diseases,2010,All,Age_all,[All],341882.00000000,28.56128426,84.88825810,270.51537070,
CG1050,Rheumatic heart disease,2010,All,Age_all,[All],2426.00000000,0.20267132,0.53257776,1.91958129,
CG1060,Hypertensive heart disease,2010,All,Age_all,[All],4924.00000000,0.41135761,1.05637820,3.89613283,
CG1070,Ischaemic heart disease,2010,All,Age_all,[All],77217.00000000,6.45081252,20.68385826,61.09823091,
CG1080,Cerebrovascular disease,2010,All,Age_all,[All],123461.00000000,10.31409877,30.77661707,97.68896339,
CG1090,Inflammatory heart diseases,2010,All,Age_all,[All],7164.00000000,0.59849024,2.08598702,5.66854095,
CG1110,Respiratory diseases,2010,All,Age_all,[All],67635.00000000,5.65031930,15.24447234,53.51643871,
CG1120,Chronic obstructive pulmonary disease,2010,All,Age_all,[All],16831.00000000,1.40608448,3.68430881,13.31758971,
CG1130,Asthma,2010,All,Age_all,[All],2065.00000000,0.17251289,0.54050085,1.63393873,
CG1140,Other respiratory diseases,2010,All,Age_all,[All],48739.00000000,4.07172192,11.01966268,38.56491027,
CG1150,Digestive diseases,2010,All,Age_all,[All],45450.00000000,3.79695442,13.24707619,35.96247711,
CG1160,Peptic ulcer disease,2010,All,Age_all,[All],3233.00000000,0.27008919,0.84897486,2.55812296,
CG1170,Cirrhosis of the liver,2010,All,Age_all,[All],13090.00000000,1.09355629,5.07961340,10.35750991,
CG1180,Appendicitis,2010,All,Age_all,[All],97.00000000,0.00810351,0.03508713,0.07675160,
CG1181,Gastritis and duodenitis,2010,All,Age_all,[All],96.00000000,0.00801997,0.02114577,0.07596035,
CG1182,Paralytic ileus and intestinal obstruction,2010,All,Age_all,[All],5461.00000000,0.45621932,1.28808409,4.32103603,
CG1183,Inflammatory bowel disease,2010,All,Age_all,[All],229.00000000,0.01913097,0.07897715,0.18119708,
CG1184,Gallbladder and biliary diseases,2010,All,Age_all,[All],4879.00000000,0.40759825,1.03164300,3.86052642,
CG1185,Pancreatitis,2010,All,Age_all,[All],1356.00000000,0.11328207,0.41617095,1.07293991,
CG1190,Other digestive diseases,2010,All,Age_all,[All],17009.00000000,1.42095484,4.44737985,13.45843285,
CG1200,Genitourinary diseases,2010,All,Age_all,[All],32760.00000000,2.73681467,7.23496611,25.92146865,
CG1210,Nephritis and nephrosis,2010,All,Age_all,[All],27605.00000000,2.30615900,6.12300737,21.84255623,
CG1220,Benign prostatic hypertrophy,2010,All,Age_all,[All],100.00000000,0.00835414,0.02047520,0.07912536,
CG1230,Other genitourinary system diseases,2010,All,Age_all,[All],5055.00000000,0.42230153,1.09148354,3.99978706,
CG1240,Skin diseases,2010,All,Age_all,[All],1319.00000000,0.11019104,0.30405541,1.04366353,
CG1250,Musculoskeletal diseases,2010,All,Age_all,[All],5606.00000000,0.46833282,1.60819534,4.43576780,
CG1260,Rheumatoid arthritis,2010,All,Age_all,[All],1655.00000000,0.13826094,0.42191535,1.30952474,
CG1270,Osteoarthritis,2010,All,Age_all,[All],52.00000000,0.00434415,0.01046536,0.04114519,
CG1280,Gout,2010,All,Age_all,[All],17.00000000,0.00142020,0.00534290,0.01345131,
CG1290,Back pain,2010,All,Age_all,[All],398.00000000,0.03324946,0.09360535,0.31491894,
CG1300,Other musculoskeletal disorders,2010,All,Age_all,[All],3484.00000000,0.29105807,1.07686638,2.75672762,
CG1310,Congenital anomalies,2010,All,Age_all,[All],2194.00000000,0.18328972,2.42387906,1.73601045,
CG1320,Abdominal wall defect,2010,All,Age_all,[All],4.00000000,0.00033417,0.00691247,0.00316501,
CG1330,Anencephaly,2010,All,Age_all,[All],19.00000000,0.00158729,0.03283425,0.01503382,
CG1340,Anorectal atresia,2010,All,Age_all,[All],3.00000000,0.00025062,0.00518435,0.00237376,
CG1350,Cleft lip,2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1360,Cleft palate,2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1370,Oesophageal atresia,2010,All,Age_all,[All],9.00000000,0.00075187,0.01392046,0.00712128,
CG1380,Renal agenesis,2010,All,Age_all,[All],30.00000000,0.00250624,0.04721222,0.02373761,
CG1390,Down syndrome,2010,All,Age_all,[All],61.00000000,0.00509602,0.05122802,0.04826647,
CG1400,Congenital heart anomalies,2010,All,Age_all,[All],1128.00000000,0.09423464,1.17919553,0.89253409,
CG1410,Spina bifida,2010,All,Age_all,[All],9.00000000,0.00075187,0.00970096,0.00712128,
CG1420,Other Congenital anomalies,2010,All,Age_all,[All],931.00000000,0.07777700,1.07769080,0.73665712,
CG1430,Oral conditions,2010,All,Age_all,[All],53.00000000,0.00442769,0.01334656,0.04193644,
CG1440,Dental caries,2010,All,Age_all,[All],1.00000000,0.00008354,0.00035904,0.00079125,
CG1450,Periodontal disease,2010,All,Age_all,[All],6.00000000,0.00050125,0.00150442,0.00474752,
CG1460,Edentulism,2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1470,Other oral diseases,2010,All,Age_all,[All],46.00000000,0.00384290,0.01148310,0.03639767,
CG1475,Sudden infant death syndrome,2010,All,Age_all,[All],147.00000000,0.01228058,0.25365784,0.11631428,
CG1480,Injuries,2010,All,Age_all,[All],75574.00000000,6.31355408,34.98800422,59.79820121,
CG1490,Unintentional injuries,2010,All,Age_all,[All],42998.00000000,3.59211102,14.95957129,34.02232323,
CG1500,Road traffic accidents,2010,All,Age_all,[All],6389.00000000,0.53374569,3.42682438,5.05531939,
CG1510,Poisonings,2010,All,Age_all,[All],471.00000000,0.03934798,0.29497792,0.37268046,
CG1520,Falls,2010,All,Age_all,[All],7517.00000000,0.62798034,2.24961872,5.94785347,
CG1530,Fires,2010,All,Age_all,[All],1338.00000000,0.11177833,0.56636692,1.05869735,
CG1540,Drownings,2010,All,Age_all,[All],6948.00000000,0.58044531,2.36121153,5.49763016,
CG1541,Exposure to mechanical forces,2010,All,Age_all,[All],685.00000000,0.05722583,0.39729976,0.54200873,
CG1542,Natural disasters,2010,All,Age_all,[All],34.00000000,0.00284041,0.01928231,0.02690262,
CG1550,Other unintentional injuries,2010,All,Age_all,[All],19616.00000000,1.63874715,5.64398976,15.52123104,
CG1560,Intentional injuries,2010,All,Age_all,[All],30003.00000000,2.50649116,18.60861483,23.73998241,
CG1570,Self-inflicted injuries,2010,All,Age_all,[All],29564.00000000,2.46981651,18.30895048,23.39262207,
CG1580,Violence,2010,All,Age_all,[All],437.00000000,0.03650757,0.29821319,0.34577783,
CG1590,War,2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1600,Other intentional injuries,2010,All,Age_all,[All],2.00000000,0.00016708,0.00145116,0.00158251,
CG1610,Ill-defined diseases,2010,All,Age_all,[All],60199.00000000,5.02910581,13.14788132,47.63267677,
CG0768,Ill-defined malignant neoplasms,2010,All,Age_all,[All],4972.00000000,0.41536760,1.46668319,3.93411301,
CG0769,Other malignant neoplasms,2010,All,Age_all,[All],9239.00000000,0.77183854,3.01952385,7.31039221,
CG0789,Diabetes mellitus and endocrine disorders,2010,All,Age_all,[All],23301.00000000,1.94659703,6.42487888,18.43700064,
CG1098,Ill-defined circulatory diseases,2010,All,Age_all,[All],82837.00000000,6.92031492,19.09704345,65.54507626,
CG1099,Other circulatory diseases,2010,All,Age_all,[All],43853.00000000,3.66353888,10.65579634,34.69884507,
CG1605,Ill-defined injuries/accidents,2010,All,Age_all,[All],2573.00000000,0.21495190,1.41981809,2.03589557,
CG0395,COVID-19,2010,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0000,All Causes,2010,Male,Age_all,[All],633700.00000000,100.00000000,455.36110359,1029.20614850,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2010,Male,Age_all,[All],78773.00000000,12.43064542,51.12220365,127.93696691,
CG0020,Infectious and parasitic diseases,2010,Male,Age_all,[All],13141.00000000,2.07369418,9.38998983,21.34258797,
CG0030,Tuberculosis,2010,Male,Age_all,[All],2190.00000000,0.34558940,1.38543859,3.55682731,
CG0040,STDs excluding HIV,2010,Male,Age_all,[All],9.00000000,0.00142023,0.00998445,0.01461710,
CG0050,Syphilis,2010,Male,Age_all,[All],9.00000000,0.00142023,0.00998445,0.01461710,
CG0060,Chlamydia,2010,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0070,Gonorrhoea,2010,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0080,Other STDs,2010,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0090,HIV/AIDS,2010,Male,Age_all,[All],56.00000000,0.00883699,0.06361232,0.09095084,
CG0100,Diarrhoeal diseases,2010,Male,Age_all,[All],993.00000000,0.15669875,0.72672045,1.61275320,
CG0110,Childhood-cluster diseases,2010,Male,Age_all,[All],13.00000000,0.00205144,0.01009613,0.02111359,
CG0120,Pertussis,2010,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0130,Poliomyelitis,2010,Male,Age_all,[All],5.00000000,0.00078902,0.00345861,0.00812061,
CG0140,Diphtheria,2010,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0150,Measles,2010,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0160,Tetanus,2010,Male,Age_all,[All],8.00000000,0.00126243,0.00663751,0.01299298,
CG0170,Meningitis,2010,Male,Age_all,[All],204.00000000,0.03219189,0.17103050,0.33132090,
CG0180,Hepatitis B,2010,Male,Age_all,[All],493.00000000,0.07779706,0.44858487,0.80069217,
CG0190,Hepatitis C,2010,Male,Age_all,[All],2145.00000000,0.33848824,1.62023711,3.48374182,
CG0200,Malaria,2010,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0210,Tropical-cluster diseases,2010,Male,Age_all,[All],3.00000000,0.00047341,0.00195558,0.00487237,
CG0220,Trypanosomiasis,2010,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0230,Chagas disease,2010,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0240,Schistosomiasis,2010,Male,Age_all,[All],3.00000000,0.00047341,0.00195558,0.00487237,
CG0250,Leishmaniasis,2010,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0260,lymphatic filariasis,2010,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0270,Onchocerciasis,2010,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0280,Leprosy,2010,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0290,Dengue,2010,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0300,Japanese encephalitis,2010,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0310,Trachoma,2010,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0320,Intestinal nematode infections,2010,Male,Age_all,[All],1.00000000,0.00015780,0.00060072,0.00162412,
CG0330,Ascariasis,2010,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0340,Trichuriasis,2010,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0350,Hookworm disease,2010,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0360,Other intestinal infections,2010,Male,Age_all,[All],1.00000000,0.00015780,0.00060072,0.00162412,
CG0370,Other infectious diseases,2010,Male,Age_all,[All],7034.00000000,1.10998895,4.95172912,11.42407456,
CG0380,Respiratory infections,2010,Male,Age_all,[All],64047.00000000,10.10683289,39.60458927,104.02014548,
CG0390,Lower respiratory infections,2010,Male,Age_all,[All],63973.00000000,10.09515544,39.52418634,103.89996045,
CG0400,Upper respiratory infections,2010,Male,Age_all,[All],70.00000000,0.01104624,0.07798611,0.11368854,
CG0410,Otitis media,2010,Male,Age_all,[All],4.00000000,0.00063121,0.00241681,0.00649649,
CG0490,Perinatal conditions,2010,Male,Age_all,[All],366.00000000,0.05775604,1.23307577,0.59442867,
CG0500,Low birth weight,2010,Male,Age_all,[All],120.00000000,0.01893641,0.40479913,0.19489465,
CG0510,Birth asphyxia and birth trauma,2010,Male,Age_all,[All],117.00000000,0.01846300,0.39321171,0.19002228,
CG0520,Other perinatal conditions,2010,Male,Age_all,[All],129.00000000,0.02035664,0.43506493,0.20951175,
CG0530,Nutritional deficiencies,2010,Male,Age_all,[All],1219.00000000,0.19236232,0.89454878,1.97980479,
CG0540,Protein-energy malnutrition,2010,Male,Age_all,[All],827.00000000,0.13050339,0.61570811,1.34314894,
CG0550,Iodine deficiency,2010,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0560,Vitamin A deficiency,2010,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0570,Iron-deficiency anaemia,2010,Male,Age_all,[All],205.00000000,0.03234969,0.13426528,0.33294502,
CG0580,Other nutritional disorders,2010,Male,Age_all,[All],187.00000000,0.02950923,0.14457538,0.30371082,
CG0590,Noncommunicable diseases,2010,Male,Age_all,[All],487117.00000000,76.86870759,339.00154905,791.13746477,
CG0600,Malignant neoplasms,2010,Male,Age_all,[All],211440.00000000,33.36594603,147.61948041,343.40436805,
CG0610,Mouth and oropharynx cancers,2010,Male,Age_all,[All],4840.00000000,0.76376834,3.65022434,7.86075076,
CG0611,a. Lip and oral cavity cancers,2010,Male,Age_all,[All],2036.00000000,0.32128768,1.55712872,3.30671251,
CG0612,b. Nasopharynx cancers,2010,Male,Age_all,[All],225.00000000,0.03550576,0.19770194,0.36542746,
CG0613,c. Other pharynx cancer,2010,Male,Age_all,[All],2579.00000000,0.40697491,1.89539368,4.18861079,
CG0620,Oesophagus cancer,2010,Male,Age_all,[All],9992.00000000,1.57677134,7.24775690,16.22822761,
CG0630,Stomach cancer,2010,Male,Age_all,[All],32943.00000000,5.19851665,22.83047779,53.50345297,
CG0640,Colon and rectum cancers,2010,Male,Age_all,[All],24125.00000000,3.80700647,17.18792961,39.18194466,
CG0650,Liver cancer,2010,Male,Age_all,[All],21510.00000000,3.39435064,15.14030279,34.93486548,
CG0660,Pancreas cancer,2010,Male,Age_all,[All],14569.00000000,2.29903740,10.41462070,23.66183427,
CG0670,"Trachea, bronchus, lung cancers",2010,Male,Age_all,[All],50395.00000000,7.95250118,34.13033056,81.84763114,
CG0680,Melanoma and other skin cancers,2010,Male,Age_all,[All],666.00000000,0.10509705,0.49372593,1.08166529,
CG0681,a. Malignant skin melanoma,2010,Male,Age_all,[All],316.00000000,0.04986587,0.25234302,0.51322257,
